Type of Crosswalk;X;Y;Lat;Long;geopoint
Zebra Crossing;492206.0;5455999.0;49.2567084843;-123.107110634;49.2567084843,-123.107110634
Zebra Crossing;492018.0;5456006.0;49.2567690266;-123.109694397;49.2567690266,-123.109694397
Zebra Crossing;495301.0;5450818.0;49.2101357215;-123.064516281;49.2101357215,-123.064516281
Zebra Crossing;494928.0;5451792.0;49.2188941444;-123.069649798;49.2188941444,-123.069649798
Zebra Crossing;498299.0;5450293.0;49.2054288507;-123.023352155;49.2054288507,-123.023352155
Zebra Crossing;496955.0;5450862.0;49.2105419658;-123.041807551;49.2105419658,-123.041807551
Zebra Crossing;497911.0;5451748.0;49.2185157883;-123.028686379;49.2185157883,-123.028686379
Zebra Crossing;496899.0;5452440.0;49.224736226;-123.04258862;49.224736226,-123.04258862
Zebra Crossing;495722.0;5453793.0;49.236899709;-123.058767769;49.236899709,-123.058767769
Zebra Crossing;495962.0;5453847.0;49.2373870822;-123.055471385;49.2373870822,-123.055471385
Zebra Crossing;497123.0;5454005.0;49.2388148876;-123.039523471;49.2388148876,-123.039523471
Zebra Crossing;496592.0;5454108.0;49.2397386712;-123.046819083;49.2397386712,-123.046819083
Zebra Crossing;497739.0;5455315.0;49.2506012267;-123.031068418;49.2506012267,-123.031068418
Zebra Crossing;497542.0;5455963.0;49.2564293683;-123.033779373;49.2564293683,-123.033779373
Zebra Crossing;496776.0;5455951.0;49.2563178684;-123.044306125;49.2563178684,-123.044306125
Zebra Crossing;495190.0;5455710.0;49.2541396085;-123.066098972;49.2541396085,-123.066098972
Zebra Crossing;495200.0;5456209.0;49.2586282963;-123.065967534;49.2586282963,-123.065967534
Zebra Crossing;498276.0;5456402.0;49.2603807748;-123.023694177;49.2603807748,-123.023694177
Zebra Crossing;497547.0;5457199.0;49.2675474613;-123.033718234;49.2675474613,-123.033718234
Zebra Crossing;497986.0;5457411.0;49.2694560461;-123.027684934;49.2694560461,-123.027684934
Zebra Crossing;498132.0;5459329.0;49.286709265;-123.025686941;49.286709265,-123.025686941
Zebra Crossing;497559.0;5459469.0;49.287966568;-123.03356714;49.287966568,-123.03356714
Zebra Crossing;495219.0;5457614.0;49.271266695;-123.065723196;49.271266695,-123.065723196
Zebra Crossing;495220.0;5457707.0;49.2721032551;-123.06571056;49.2721032551,-123.06571056
Zebra Crossing;495224.0;5458009.0;49.2748198314;-123.065659178;49.2748198314,-123.065659178
Zebra Crossing;495228.0;5458401.0;49.2783459722;-123.065608864;49.2783459722,-123.065608864
Zebra Crossing;495230.0;5458615.0;49.2802709549;-123.065583919;49.2802709549,-123.065583919
Zebra Crossing;494389.0;5458527.0;49.2794722384;-123.077145792;49.2794722384,-123.077145792
Zebra Crossing;494233.0;5458228.0;49.27678123;-123.079286327;49.27678123,-123.079286327
Zebra Crossing;493906.0;5458886.0;49.2826968788;-123.083792036;49.2826968788,-123.083792036
Zebra Crossing;493343.0;5458613.0;49.2802353262;-123.091528689;49.2802353262,-123.091528689
Zebra Crossing;493216.0;5458121.0;49.2758083066;-123.093266494;49.2758083066,-123.093266494
Zebra Crossing;493258.0;5457875.0;49.2735959583;-123.092684933;49.2735959583,-123.092684933
Zebra Crossing;491654.0;5459474.0;49.2879594252;-123.114769084;49.2879594252,-123.114769084
Zebra Crossing;491636.0;5459394.0;49.2872395673;-123.115014934;49.2872395673,-123.115014934
Zebra Crossing;488846.0;5461200.0;49.3034402017;-123.153431037;49.3034402017,-123.153431037
Zebra Crossing;489587.0;5462289.0;49.3132489549;-123.143266502;49.3132489549,-123.143266502
Zebra Crossing;489620.0;5461792.0;49.3087789514;-123.142799553;49.3087789514,-123.142799553
Zebra Crossing;489788.0;5462007.0;49.3107157315;-123.140493853;49.3107157315,-123.140493853
Zebra Crossing;491182.0;5460660.0;49.298621029;-123.121285895;49.298621029,-123.121285895
Zebra Crossing;490751.0;5460473.0;49.2969325663;-123.127209678;49.2969325663,-123.127209678
Zebra Crossing;490317.0;5460529.0;49.2974295683;-123.133180204;49.2974295683,-123.133180204
Zebra Crossing;490135.0;5460834.0;49.3001701689;-123.135690961;49.3001701689,-123.135690961
Zebra Crossing;490124.0;5460615.0;49.2982000593;-123.135836849;49.2982000593,-123.135836849
Zebra Crossing;489051.0;5460376.0;49.2960319356;-123.150588545;49.2960319356,-123.150588545
Zebra Crossing;489927.0;5460091.0;49.293483396;-123.138533215;49.293483396,-123.138533215
Zebra Crossing;489448.0;5459881.0;49.2915863337;-123.145115299;49.2915863337,-123.145115299
Zebra Crossing;489317.0;5459792.0;49.2907834906;-123.146914478;49.2907834906,-123.146914478
Zebra Crossing;490071.0;5459328.0;49.2866224639;-123.136533845;49.2866224639,-123.136533845
Zebra Crossing;490419.0;5459137.0;49.2849099462;-123.131743927;49.2849099462,-123.131743927
Zebra Crossing;489863.0;5458760.0;49.2815098066;-123.139379646;49.2815098066,-123.139379646
Zebra Crossing;491285.0;5457813.0;49.2730133173;-123.119807136;49.2730133173,-123.119807136
Zebra Crossing;491083.0;5457781.0;49.2727225592;-123.122583357;49.2727225592,-123.122583357
Zebra Crossing;490267.0;5458149.0;49.2760203335;-123.133809956;49.2760203335,-123.133809956
Zebra Crossing;490017.0;5457457.0;49.2697916491;-123.137229695;49.2697916491,-123.137229695
Zebra Crossing;490012.0;5457120.0;49.266760195;-123.137290015;49.266760195,-123.137290015
Zebra Crossing;489934.0;5457345.0;49.2687828295;-123.13836782;49.2687828295,-123.13836782
Zebra Crossing;489043.0;5456582.0;49.2619041986;-123.150594627;49.2619041986,-123.150594627
Zebra Crossing;488526.0;5456698.0;49.2629381583;-123.157703649;49.2629381583,-123.157703649
Zebra Crossing;487621.0;5456733.0;49.2632353415;-123.170143389;49.2632353415,-123.170143389
Zebra Crossing;487199.0;5456744.0;49.2633256013;-123.1759439;49.2633256013,-123.1759439
Zebra Crossing;486767.0;5456755.0;49.2634153536;-123.181881875;49.2634153536,-123.181881875
Zebra Crossing;486774.0;5457043.0;49.2660061102;-123.181795181;49.2660061102,-123.181795181
Zebra Crossing;485893.0;5457352.0;49.2687659222;-123.193915601;49.2687659222,-123.193915601
Zebra Crossing;485882.0;5456373.0;49.2599594156;-123.194032275;49.2599594156,-123.194032275
Zebra Crossing;485450.0;5456789.0;49.2636912752;-123.199984597;49.2636912752,-123.199984597
Zebra Crossing;484792.0;5457001.0;49.2655822374;-123.209036568;49.2655822374,-123.209036568
Zebra Crossing;485274.0;5457640.0;49.2713419281;-123.202434955;49.2713419281,-123.202434955
Zebra Crossing;485020.0;5457279.0;49.2680885138;-123.205913096;49.2680885138,-123.205913096
Zebra Crossing;484801.0;5457382.0;49.2690096087;-123.208927332;49.2690096087,-123.208927332
Zebra Crossing;484818.0;5457986.0;49.2744430903;-123.20871657;49.2744430903,-123.20871657
unmarked;492264.0;5459022.0;49.2839016427;-123.106372006;49.2839016427,-123.106372006
unmarked;492090.0;5459070.0;49.284331183;-123.108765497;49.284331183,-123.108765497
Special Crossing;496661.0;5454649.0;49.2446054733;-123.045875669;49.2446054733,-123.045875669
Parallel Lines;486104.0;5454420.0;49.2423969262;-123.190913456;49.2423969262,-123.190913456
Parallel Lines;486530.0;5456081.0;49.2573474408;-123.185116642;49.2573474408,-123.185116642
Parallel Lines;489470.0;5455092.0;49.2485088686;-123.144686716;49.2485088686,-123.144686716
Parallel Lines;489364.0;5454983.0;49.2475265587;-123.146140303;49.2475265587,-123.146140303
Parallel Lines;489238.0;5453117.0;49.2307392901;-123.147821453;49.2307392901,-123.147821453
Parallel Lines;488705.0;5453131.0;49.2308556231;-123.155142841;49.2308556231,-123.155142841
Parallel Lines;492264.0;5451665.0;49.2177238958;-123.106229917;49.2177238958,-123.106229917
Parallel Lines;490174.0;5453083.0;49.2304491882;-123.134964231;49.2304491882,-123.134964231
Parallel Lines;495067.0;5455285.0;49.2503156626;-123.067784001;49.2503156626,-123.067784001
Parallel Lines;492425.0;5454202.0;49.2405468388;-123.104067007;49.2405468388,-123.104067007
Parallel Lines;492305.0;5453220.0;49.2317120248;-123.105696741;49.2317120248,-123.105696741
Parallel Lines;493793.0;5452517.0;49.2254052576;-123.085247063;49.2254052576,-123.085247063
Parallel Lines;493619.0;5451982.0;49.220591007;-123.08762827;49.220591007,-123.08762827
Parallel Lines;493378.0;5451819.0;49.2191222214;-123.090935153;49.2191222214,-123.090935153
Parallel Lines;497640.0;5451803.0;49.2190095442;-123.032408103;49.2190095442,-123.032408103
Parallel Lines;495711.0;5453084.0;49.2305220028;-123.058911294;49.2305220028,-123.058911294
Parallel Lines;497922.0;5454640.0;49.2445300969;-123.028550313;49.2445300969,-123.028550313
Parallel Lines;496389.0;5455322.0;49.2506577155;-123.049618835;49.2506577155,-123.049618835
Parallel Lines;495419.0;5459179.0;49.2853456755;-123.062991774;49.2853456755,-123.062991774
Parallel Lines;493210.0;5458928.0;49.2830673397;-123.093362684;49.2830673397,-123.093362684
Parallel Lines;492417.0;5458977.0;49.2834987781;-123.104267367;49.2834987781,-123.104267367
Parallel Lines;490129.0;5460705.0;49.2990097013;-123.135770302;49.2990097013,-123.135770302
Parallel Lines;489608.0;5459943.0;49.2921467741;-123.142916535;49.2921467741,-123.142916535
