OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
1916.0;Residential;3200 W 48TH AV;210.017783;3200.0;3200.0;No sidewalk both sides;487064.142438;5452873.38853
1919.0;Residential;3500 W 47TH AV;246.465625;3500.0;3500.0;No sidewalks both sides;486743.839107;5452966.80157
1920.0;Residential;3500 W 47TH AV;246.465625;3500.0;3500.0;No sidewalks both sides;486678.84425;5452967.61922
1922.0;Residential;3500 W 47TH AV;246.465625;3500.0;3500.0;No sidewalks both sides;486548.854535;5452969.2545
1925.0;Residential;1700-1800 ISLAND AV;278.587306;1700.0;1800.0;No sidewalks both sides;494865.54899;5450783.87535
1930.0;Residential;0-100 E 69TH AV;54.279792;0.0;100.0;No sidewalks both sides;492493.792668;5450733.3099
1935.0;Residential;7900 COLUMBIA ST;41.411289;7900.0;7900.0;No sidewalks both sides;491789.395474;5451139.14905
1938.0;Residential;6400 COLUMBIA ST;50.291598;6400.0;6400.0;No sidewalks both sides;491934.700727;5452677.913
1941.0;Residential;600 W 54TH AV;40.228199;600.0;600.0;No sidewalks both sides;491178.205119;5452106.95817
1946.0;Residential;6800-6900 ASH ST;194.535655;6800.0;6900.0;No sidewalks both sides;491391.46901;5452181.35565
1947.0;Residential;6800-6900 ASH ST;194.535655;6800.0;6900.0;No sidewalks both sides;491389.693964;5452116.84442
1950.0;Residential;4800 LAUREL ST;58.759664;4800.0;4800.0;No sidewalks both sides;490905.320485;5454408.49206
1953.0;Residential;1100 W 52ND AV;50.647061;1100.0;1100.0;No sidewalk on both sides;490286.766658;5452364.24769
1958.0;Residential;6600 OSLER ST;48.765204;6600.0;6600.0;No sidewalks both sides;490491.339386;5452457.8289
1966.0;Residential;4100 KOOTENAY ST;50.578957;4100.0;4100.0;No sidewalk both sides;498088.97485;5454964.8121
1968.0;Secondary Arterial;400 E KENT AV NORTH;325.703233;400.0;400.0;No sidewalk both sides;492888.329387;5450543.26124
1971.0;Secondary Arterial;400 E KENT AV NORTH;325.703233;400.0;400.0;No sidewalk both sides;493081.769598;5450567.87597
1975.0;Residential;8000 POPLAR ST;44.314826;8000.0;8000.0;No sidewalks both sides;493203.300264;5451007.41224
1979.0;Residential;1400 E 54TH AV;50.051547;1400.0;1400.0;No sidewalk both sides;494458.434856;5451962.70729
1981.0;Residential;7300 PRINCE ALBERT ST;48.40716;7300.0;7300.0;No sidewalk both sides;493604.018263;5451622.29879
1982.0;Residential;4500 PICTON ST;2.367494;4500.0;4500.0;No sidewalks both sides;497056.172915;5454483.29748
1988.0;Residential;4700-4800 BELMONT AV;390.917218;4700.0;4800.0;No sidewalk both sides;484260.605293;5457974.07808
1991.0;Residential;4700-4800 BELMONT AV;390.917218;4700.0;4800.0;No sidewalk both sides;484088.661656;5458063.81204
1995.0;Residential;3900 KOOTENAY ST;50.127561;3900.0;3900.0;No sidewalk both sides;498089.494946;5455114.80212
1999.0;Residential;2800 KAMLOOPS ST;51.870287;2800.0;2800.0;No sidewalks both sides;496015.993927;5456215.03653
2008.0;Residential;4500 WELWYN ST;62.628863;4500.0;4500.0;No sidewalks both sides;494902.461215;5454579.27898
2009.0;Residential;4500 WELWYN ST;62.628863;4500.0;4500.0;No sidewalks both sides;494901.729589;5454516.65439
2014.0;Residential;4900 MACDONALD ST;52.63894;4900.0;4900.0;No sidewalks both sides;487771.831078;5454353.0238
2015.0;Residential;4900 MACDONALD ST;52.63894;4900.0;4900.0;No sidewalks both sides;487770.883441;5454300.39339
2016.0;Residential;2700 E 44TH AV;153.187555;2700.0;2700.0;No sidewalks both sides;496293.801752;5453057.77211
2017.0;Residential;2700 E 44TH AV;153.187555;2700.0;2700.0;No sidewalks both sides;496358.103208;5453063.69561
2020.0;Residential;2600 BOBOLINK AV;119.117962;2600.0;2600.0;No sidewalk both sides;496038.45351;5451347.6498
2025.0;Residential;4500 MACDONALD ST;52.903528;4500.0;4500.0;No sidewalks both sides;487779.434828;5454775.3424
2026.0;Residential;4500 MACDONALD ST;52.903528;4500.0;4500.0;No sidewalks both sides;487778.457977;5454722.44789
2028.0;Residential;4400 W 1ST AV;221.205478;4400.0;4400.0;No sidewalk both sides;484967.332144;5457724.67322
2036.0;Residential;1900 FOLEY ST;111.684746;1900.0;1900.0;No sidewalks both sides;493706.72907;5457164.43733
2038.0;Residential;1900 FOLEY ST;111.684746;1900.0;1900.0;No sidewalks both sides;493695.122777;5457054.4059
2046.0;Residential;0 ONTARIO PLACE;95.981749;0.0;0.0;No sidewalks both sides;492450.73177;5453316.2553
2047.0;Residential;5600 SOPHIA ST;50.65825;5600.0;5600.0;No sidewalks both sides;492754.667094;5453477.04991
2050.0;Residential;1900 W 50TH AV;52.720401;1900.0;1900.0;No sidewalk both sides;488906.590394;5452569.53035
2051.0;Residential;1900 W 50TH AV;52.739236;1900.0;1900.0;No sidewalk both sides;489012.029694;5452567.4623
2053.0;Residential;1800 W 63RD AV;56.93198;1800.0;1800.0;No sidewalks both sides;489188.503466;5451270.694
2054.0;Residential;1800 W 63RD AV;56.93198;1800.0;1800.0;No sidewalks both sides;489131.582337;5451271.80554
2059.0;Residential;7000-7200 MARGUERITE ST;210.292313;7000.0;7200.0;No sidewalk both sides;489423.627397;5451989.86845
2061.0;Residential;7000-7200 MARGUERITE ST;210.292313;7000.0;7200.0;No sidewalk both sides;489421.417488;5451909.60655
2062.0;Residential;2100 W 54TH AV;71.577131;2100.0;2100.0;No sidewalks both sides;488753.817092;5452110.88675
2063.0;Residential;2100 W 54TH AV;71.577131;2100.0;2100.0;No sidewalks both sides;488690.483436;5452123.32342
2064.0;Residential;2100 W 54TH AV;71.577131;2100.0;2100.0;No sidewalks both sides;488684.471885;5452125.98488
2069.0;Residential;6500 TISDALL ST;51.785717;6500.0;6500.0;Prioritizing first block as there will be higher traffic circulation.;491198.886736;5452565.67528
2071.0;Residential;6500 TISDALL ST;49.673939;6500.0;6500.0;Prioritizing first block as there will be higher traffic circulation.;491197.6585;5452516.01653
2072.0;Residential;500 W 64TH AV;56.469525;500.0;500.0;2016 List.  Frontage;491476.952574;5451063.78449
2073.0;Residential;500 W 64TH AV;56.469525;500.0;500.0;2016 List.  Frontage;491420.530031;5451066.08751
2079.0;Residential;400-700 INDUSTRIAL AV;375.46647;400.0;700.0;No sidewalk both sides- sidewalk on small section north west;493236.377381;5457366.29255
2083.0;Residential;400-700 INDUSTRIAL AV;375.46647;400.0;700.0;No sidewalk both sides- sidewalk on small section north west;493488.071909;5457301.10157
2084.0;Residential;400-700 INDUSTRIAL AV;375.46647;400.0;700.0;No sidewalk both sides- sidewalk on small section north west;493536.926272;5457288.44788
2085.0;Residential;1000-1100 W 46TH AV;216.823397;1000.0;1100.0;;490606.051926;5452957.83979
2086.0;Residential;1000-1100 W 46TH AV;216.823397;1000.0;1100.0;;490541.149659;5452961.40289
2092.0;Residential;6300 COLLINGWOOD ST;88.762611;0.0;0.0;No sidewalks both sides- add later;486743.839107;5452966.80157
2094.0;Residential;6300 COLLINGWOOD ST;88.762611;0.0;0.0;No sidewalks both sides- add later;486742.59007;5452878.04775
2095.0;Residential;800 W KENT AV SOUTH;217.008603;800.0;800.0;;490959.382295;5450182.93655
2096.0;Residential;800 W KENT AV SOUTH;217.008603;800.0;800.0;;490898.318899;5450160.73263
2101.0;Residential;5300 HUDSON ST;49.544476;5300.0;5300.0;;490192.064726;5453806.49322
2104.0;Residential;400 W 62ND AV;61.857744;400.0;400.0;only North side on east has sidewalk;491544.133518;5451262.41972
2108.0;Residential;400 E 64TH AV;41.57992;400.0;400.0;sidewalk on South side. Eastren section- No sidewalk both sides;493092.151494;5451037.92047
2111.0;Residential;1200 E 67TH AV;100.561615;1200.0;1200.0;;494083.364635;5450750.15409
2116.0;Secondary Arterial;1300-1500 E KENT AV NORTH;174.283006;1300.0;1500.0;no sidewalk- both sides bike lane only;494291.097829;5450722.33749
2119.0;Secondary Arterial;1300-1500 E KENT AV NORTH;225.751813;1300.0;1500.0;no sidewalk- both sides bike lane only;494420.05215;5450738.79299
