Date;Time;Location;Location Type;Pedestrian;Bike;Motorcycle;Veh;Age;Gender ;Lat;Long;geopoint
2006-01-17 00:00:00;;Quebec St/National Av;;;;;1;50-59;M;49.2749544675;-123.101921386;49.2749544675,-123.101921386
2006-01-27 00:00:00;;Main St/E 18th Av;;;;;1;20-29;F;49.2547943238;-123.100992595;49.2547943238,-123.100992595
2006-01-28 00:00:00;;2700 Block Trans Canada Hwy;;;;;1;20-29;M;;;
2006-02-03 00:00:00;;E 55th Av/Kerr St;;1;;;0;50-59;F;49.2191637767;-123.041339476;49.2191637767,-123.041339476
2006-03-02 00:00:00;;700 Block Gore Street;;1;;;0;70-79;F;49.2780720341;-123.097020866;49.2780720341,-123.097020866
2006-03-04 00:00:00;;3300 Block Marine Way;;;;;1;30-39;M;49.2069970882;-123.033760627;49.2069970882,-123.033760627
2006-04-07 00:00:00;;Melville St/Thurlow St;;1;;;0;50-59;M;49.286463337;-123.122005399;49.286463337,-123.122005399
2006-05-09 00:00:00;;E 41st Av/Main St;;1;;;0;80-89;F;49.2330791009;-123.101518603;49.2330791009,-123.101518603
2006-06-11 00:00:00;;800 Block Howe St;;1;;;0;10-19;M;49.2814745779;-123.121608667;49.2814745779,-123.121608667
2006-07-01 00:00:00;;100 W Cordova St;;;;;1;20-29;M;49.2831491703;-123.107985646;49.2831491703,-123.107985646
2006-07-08 00:00:00;;W 4th Av/Trimble St;;;1;;0;60-69;M;49.2689629361;-123.205873087;49.2689629361,-123.205873087
2006-10-22 00:00:00;;1100 Block E 60th Av;;1;;;0;40-49;M;49.2155412936;-123.081622906;49.2155412936,-123.081622906
2007-01-26 00:00:00;;1300 Main St/Terminal Av;;1;;;0;60-69;F;;;
2007-02-01 00:00:00;;E 1st Av/Rupert St;;;;1;0;40-49;M;49.2694598736;-123.033692742;49.2694598736,-123.033692742
2007-07-25 00:00:00;;W Broadway/Maple St;;1;;;0;40-49;F;49.2637899039;-123.150529026;49.2637899039,-123.150529026
2007-08-16 00:00:00;;Hemlock St on ramp/W 4th Av;;;;;1;40-49;M;49.267137196;-123.135963012;49.267137196,-123.135963012
2007-11-15 00:00:00;;Granville St/Davie St;;1;;;0;70-79;M;49.2771504701;-123.126198562;49.2771504701,-123.126198562
2007-11-20 00:00:00;;4200 Blk W 4th Av;;;;;1;30-39;M;49.2683411754;-123.201086189;49.2683411754,-123.201086189
2007-12-08 00:00:00;;W 4th Av/NW Marine Dr;;;;;1;20-29;M;49.2688558038;-123.199467665;49.2688558038,-123.199467665
2007-12-27 00:00:00;;W 41st Av/Dunbar St;;1;;;0;80-89;M;49.2347662113;-123.185339047;49.2347662113,-123.185339047
2008-01-05 00:00:00;;E Hastings St/Kamloops St;;1;;;0;80-89;F;49.2811452852;-123.054581534;49.2811452852,-123.054581534
2008-07-15 00:00:00;;2400 Blk Clark  Dr;;1;;;0;40-49;M;49.2628555265;-123.077491249;49.2628555265,-123.077491249
2008-08-10 00:00:00;;Oak St/Connaught Dr;;;;1;0;20-29;M;49.24353287;-123.127746376;49.24353287,-123.127746376
2008-08-23 00:00:00;;900 Blk Powell St;;1;;;0;30-39;F;49.2825819636;-123.083150822;49.2825819636,-123.083150822
2008-09-10 00:00:00;;200 Blk Powell St;;1;;;0;50-59;F;49.2831731379;-123.098651191;49.2831731379,-123.098651191
2008-11-25 00:00:00;;6454 Killarney St;;;;;1;20-29;M;49.2253078075;-123.045655988;49.2253078075,-123.045655988
2011-01-13 00:00:00;08:25:00;E Hastings St/Nanaimo St;Intersection;1;;;0;10-19;M;49.2811460473;-123.056550723;49.2811460473,-123.056550723
2011-05-01 00:00:00;18:59:00;E 41st Ave/Killarney St;Intersection;1;;;0;90-99;M;49.2329711872;-123.045920481;49.2329711872,-123.045920481
2011-06-20 00:00:00;17:52:00;Granville St/Nanton Ave;Close to intersection;;;;1;30-39;F;49.247413483;-123.139150237;49.247413483,-123.139150237
2011-06-25 00:00:00;04:12:00;E Hastings St/ Jackson St;Intersection;1;;;0;30-39;F;49.2812208071;-123.093431846;49.2812208071,-123.093431846
2011-06-26 00:00:00;03:07:00;Main St/ EHastings St;Mid-Block;1;;;0;50-59;M;49.2813356086;-123.099648811;49.2813356086,-123.099648811
2012-03-16 00:00:00;18:59:00;East 41st Avenue and Ross Street;Intersection;1;;;0;70-79;F;49.2327881526;-123.082570721;49.2327881526,-123.082570721
2012-04-24 00:00:00;01:39:00;Cassiar St / Dundas St;Intersection;;;;1;60-69;M;;;
2012-04-24 00:00:00;01:39:00;Cassiar St / Dundas St;Intersection;;;;1;40-49;F;;;
2012-08-01 00:00:00;11:34:00;E 20th Ave / Knight St;Intersection;;;;1;60-69;F;49.2525959008;-123.076016583;49.2525959008,-123.076016583
2012-09-19 00:00:00;16:40:00;Main and Terminal;Intersection;1;;;0;40-49;F;49.2727762458;-123.100028051;49.2727762458,-123.100028051
2012-11-27 00:00:00;22:54:00;Kingsway and Joyce;Intersection;1;;;0;10-19;F;49.2341534538;-123.035876622;49.2341534538,-123.035876622
2013-02-08 00:00:00;02:55:00;200 block Georgia Viaduct;Mid-Span;;;;1;20-29;M;;;
2013-03-04 00:00:00;09:30:00;600 block E Hastings St;Intersection;1;;;0;50-59;F;49.2811846967;-123.091480448;49.2811846967,-123.091480448
2013-11-26 00:00:00;09:30:00;East Hastings Street at Salsbury Drive;Intersection;1;;;0;50-59;M;49.281213753;-123.068261535;49.281213753,-123.068261535
2014-04-08 00:00:00;14:45:00;800 block E Broadway;Intersection;;;;1;50-59;M;;;
2016-03-08 00:00:00;21:28:00;E 41st Ave at Kerr St;Close to intersection;1;;;0;50-59;F;49.2329627314;-123.040227938;49.2329627314,-123.040227938
2016-03-31 00:00:00;09:22:00;E Broadway & Rupert;Intersection;1;;;0;30-39;F;49.2618912928;-123.033757574;49.2618912928,-123.033757574
2016-08-29 00:00:00;17:26:00;Seymour & Davie;Intersection;;;;1;60-69;M;49.2765088429;-123.125206834;49.2765088429,-123.125206834
2016-08-29 00:00:00;17:30:00;Seymour & Davie;Intersection;;;;1;70-79;F;49.2765088429;-123.125206834;49.2765088429,-123.125206834
2017-05-28 00:00:00;17:22:00;W 4th Av at Anderson St;Intersection;1;;;0;80-89;M;;;
2017-06-18 00:00:00;11:56:00;8200 Block Boundary Rd;Mid-block;;;;1;50-59;F;49.2114886042;-123.023592463;49.2114886042,-123.023592463
2017-08-06 00:00:00;06:18:00;W 4th Av at Trimble St;Intersection;;;;1;20-29;M;49.2689629361;-123.205873087;49.2689629361,-123.205873087
2017-11-01 00:00:00;15:28:00;Columbia St at E Pender St;Intersection;1;;;0;80-89;M;49.2804345141;-123.102297145;49.2804345141,-123.102297145
2017-12-13 00:00:00;11:38:00;Slocan St at E 20th Av;Close to Intersection;1;;;0;70-79;F;49.2523828414;-123.04958644;49.2523828414,-123.04958644
