Location;Installed_DT;Removed_DT;Latitude;Longitude;Note;On_bikeway;X;Y;geopoint
Blenheim St & W 5th Av;2006-04-01 00:00:00;;49.26763114;-123.177718;;No;487071.0;5457223.0;49.26763114,-123.177718
Discovery St & W 14th Av;1998-05-25 00:00:00;;49.26009976;-123.203148;;Yes;485219.0;5456390.0;49.26009976,-123.203148
Wallace Crescent & W 8th Av/W Broadway;1993-05-14 00:00:00;;49.26510681;-123.193493;;Yes;485923.0;5456945.0;49.26510681,-123.193493
Vine St & W 10th Av;2003-09-16 00:00:00;;49.26293917;-123.157702;;Yes;488526.0;5456698.0;49.26293917,-123.157702
Osler St & W 26th Av;2002;;49.24818695;-123.129866;;No;490549.0;5455054.0;49.24818695,-123.129866
Laurel St & W 26th Av;2000-03-18 00:00:00;;49.24810415;-123.124753;;No;490921.0;5455044.0;49.24810415,-123.124753
Broughton St & Barclay St;1982;;49.28650624;-123.132055;;No;490397.0;5459315.0;49.28650624,-123.132055
Collingwood St & W 18th Av;2009-06-04 00:00:00;;49.25646969;-123.181824;;Yes;486769.0;5455983.0;49.25646969,-123.181824
Adera St & W 68th Av;2005-02-01 00:00:00;;49.21056474;-123.143626;;Yes;489539.0;5450874.0;49.21056474,-123.143626
Adera St & W 66th Av;2005-02-01 00:00:00;;49.21141803;-123.143597;;Yes;489541.0;5450968.0;49.21141803,-123.143597
Laurel St & W 20th Av;1989;;49.25347785;-123.12453;;No;490938.0;5455642.0;49.25347785,-123.12453
Larch St & W 45th Av;1992;;49.23096921;-123.162881;;Yes;488142.0;5453145.0;49.23096921,-123.162881
St George St & E 10th Av;1987-12-22 00:00:00;;49.26155603;-123.093004;;Yes;493233.0;5456537.0;49.26155603,-123.093004
Garden Dr & Parker St;1988;;49.27566651;-123.057898;;No;495789.0;5458103.0;49.27566651,-123.057898
Carolina St & E 13th Av;1987;;49.25882766;-123.091115;;No;493370.0;5456233.0;49.25882766,-123.091115
Ontario St & 21st Av;1995;;49.25186708;-123.104852;;Yes;492370.0;5455461.0;49.25186708,-123.104852
Balaclava St & W 14th Av;Between Aug 2008-April 2009;;49.25965733;-123.174138;date ranges from ortho photos;Yes;487329.0;5456336.0;49.25965733,-123.174138
Garden Dr & E 10th Av;2000-05-24 00:00:00;;49.26128188;-123.058176;;No;495767.0;5456504.0;49.26128188,-123.058176
Garden Dr & E 11th Av;2000-05-24 00:00:00;;49.26037801;-123.058193;;No;495766.0;5456403.0;49.26037801,-123.058193
N Penticton St & Trinity St;1997;;49.28970612;-123.051934;;No;496223.0;5459663.0;49.28970612,-123.051934
Inverness St & E 61st Av;2003;;49.21465267;-123.080116;;Yes;494165.0;5451321.0;49.21465267,-123.080116
Vine St & W 8th Av;1994;;49.26481527;-123.157631;;Yes;488532.0;5456907.0;49.26481527,-123.157631
Ontario St & 15th Av;1990;;49.25755999;-123.105131;;Yes;492350.0;5456093.0;49.25755999,-123.105131
Salisbury Dr & Graveley St;1987;;49.27049081;-123.067668;;No;495077.0;5457528.0;49.27049081,-123.067668
Sophia St & E 15th Av;1989;;49.25747287;-123.0984;;No;492840.0;5456083.0;49.25747287,-123.0984
Yukon St & W 22nd Av;2009-02-03 00:00:00;;49.25111125;-123.11274;;Yes;491795.0;5455377.0;49.25111125,-123.11274
Lakewood Dr & Parker St;2008-05-26 00:00:00;;49.27569693;-123.061766;;Yes;495507.0;5458106.0;49.27569693,-123.061766
Lakewood Dr & Napier St;1990;;49.27479197;-123.061783;;Yes;495506.0;5458006.0;49.27479197,-123.061783
Blenheim St & W 6th Av;1995;;49.26678125;-123.177749;;No;487069.0;5457128.0;49.26678125,-123.177749
Blenheim St & W 8th Av;1994;;49.26510361;-123.177813;;Yes;487063.0;5456942.0;49.26510361,-123.177813
Larch St & W 8th Av;1994;;49.26489;-123.16237;;Yes;488187.0;5456916.0;49.26489,-123.16237
Inverness St & E 60th Av;2003;;49.21553431;-123.080101;;Yes;494167.0;5451419.0;49.21553431,-123.080101
Birch St & W 10th Av;2004-12-02 00:00:00;;49.26255495;-123.133762;;Yes;490268.0;5456652.0;49.26255495,-123.133762
St George St & E 6th Av;1989-05-24 00:00:00;;49.26526342;-123.092945;;Yes;493238.0;5456949.0;49.26526342,-123.092945
Penticton St & Charles St;1998;;49.27326923;-123.052032;;No;496215.0;5457836.0;49.27326923,-123.052032
Kamloops St & Kitchener St;1998;;49.27229608;-123.054684;;No;496022.0;5457728.0;49.27229608,-123.054684
Balaclava St & W 23rd Av;2006-11-15 00:00:00;;49.25192145;-123.175664;;Yes;487216.0;5455476.0;49.25192145,-123.175664
Cypress St & W 7th Av;1995;;49.2655011;-123.148064;;Yes;489228.0;5456982.0;49.2655011,-123.148064
Glen Dr & E 7th Av;2002-05-30 00:00:00;;49.26426563;-123.081329;;Yes;494083.0;5456837.0;49.26426563,-123.081329
Glen Dr & E 10th Av;Between Sept 2009-2011;;49.2614625;-123.081387;date ranges from ortho photos;Yes;494078.0;5456525.0;49.2614625,-123.081387
Prince Albert St & E 13th Av;1990;;49.2587961;-123.087247;;No;493652.0;5456229.0;49.2587961,-123.087247
Woodland Dr & E 8th Av;1998;;49.26330079;-123.073616;;Yes;494644.0;5456729.0;49.26330079,-123.073616
Kaslo St & Turner St;1998;;49.27908291;-123.046706;;Yes;496603.0;5458482.0;49.27908291,-123.046706
Adera St & W 59th Av;2005-02-01 00:00:00;;49.21767873;-123.143858;;Yes;489524.0;5451665.0;49.21767873,-123.143858
Maple St & W 13th Av;1996;;49.26002611;-123.15067;;No;489037.0;5456373.0;49.26002611,-123.15067
Dumfries St & E 32nd Av;2013-01-17 00:00:00;;49.24163607;-123.073598;;Yes;494643.0;5454320.0;49.24163607,-123.073598
Windsor St & E 28th Av;2002-05-30 00:00:00;;49.24545477;-123.083949;;Yes;493890.0;5454746.0;49.24545477,-123.083949
Cypress St & W 45th Av;Between Sept 2009-April 2011;;49.23076289;-123.149365;date ranges from ortho photos;Yes;489126.0;5453120.0;49.23076289,-123.149365
Ontario St & 45th Av;1995;;49.22945499;-123.105811;;Yes;492296.0;5452969.0;49.22945499,-123.105811
Balaclava St & W 37th Av;1997;;49.23853994;-123.175793;;Yes;487204.0;5453989.0;49.23853994,-123.175793
Jervis St & Haro St;1998-01-28 00:00:00;;49.28631908;-123.129615;;Yes;490574.0;5459293.0;49.28631908,-123.129615
Pine Crescent & W 36th Av;2002-05-31 00:00:00;;49.23906268;-123.146977;;No;489301.0;5454042.0;49.23906268,-123.146977
N Kootenay St & Cambridge St;1999;;49.28670915;-123.025687;;No;498132.0;5459329.0;49.28670915,-123.025687
Earles St & E 43rd Av;1997;;49.23116567;-123.048805;;Yes;496447.0;5453155.0;49.23116567,-123.048805
Windsor St & E 31st Av;2002-05-30 00:00:00;;49.24251594;-123.084027;;Yes;493884.0;5454419.0;49.24251594,-123.084027
Semlin Dr & Turner St;1990;;49.27913096;-123.063675;;No;495369.0;5458488.0;49.27913096,-123.063675
Discovery St & W 12th Av;1998-05-25 00:00:00;;49.26190789;-123.203086;;Yes;485224.0;5456591.0;49.26190789,-123.203086
N Garden Dr & Cambridge St;1996;;49.2866149;-123.057724;;No;495802.0;5459320.0;49.2866149,-123.057724
Highbury St & W 8th Av;2008-02-01 00:00:00;;49.26526309;-123.187751;;Yes;486340.0;5456961.0;49.26526309,-123.187751
Woodland Dr & E 11th Av;1996-10-23 00:00:00;;49.26049607;-123.073667;;Yes;494640.0;5456417.0;49.26049607,-123.073667
Alberta St & W 14th Av;1990;;49.25866973;-123.111118;;No;491915.0;5456217.0;49.25866973,-123.111118
Yew St & W 51st Av;1986-08-01 00:00:00;;49.22502658;-123.158955;;No;488426.0;5452484.0;49.22502658,-123.158955
Balaclava St & W 26th Av;2006-11-15 00:00:00;;49.24898031;-123.175694;;Yes;487213.0;5455149.0;49.24898031,-123.175694
Cypress St & Mcnicoll Av;1992;;49.27621625;-123.147662;;Yes;489259.0;5458173.0;49.27621625,-123.147662
Cotton Dr & Charles St;1990;;49.27305432;-123.071492;;No;494800.0;5457813.0;49.27305432,-123.071492
Yukon St & W 27th Av;2009-02-03 00:00:00;;49.24696051;-123.112277;;Yes;491828.0;5454916.0;49.24696051,-123.112277
St George St & E 5th Av;1989-05-24 00:00:00;;49.26616757;-123.092931;;No;493239.0;5457049.0;49.26616757,-123.092931
Ontario St & 56th Av;1997;;49.21938549;-123.106168;;Yes;492269.0;5451850.0;49.21938549,-123.106168
Stephens St & W 3rd Av;2010-09-14 00:00:00;;49.2692315;-123.166331;;Yes;487900.0;5457399.0;49.2692315,-123.166331
Trafalgar St & W 2nd Av;2005-03-07 00:00:00;;49.27009548;-123.164454;;Yes;488037.0;5457495.0;49.27009548,-123.164454
Balaclava St & W 28th Av;2006-11-15 00:00:00;;49.24708129;-123.17571;;Yes;487212.0;5454938.0;49.24708129,-123.17571
